test,timestamp,raw_data
,1779038630.8252413,L:-18467 R:-10717
,1779038630.8263254,L:-18467 R:-10717
,1779038630.8283339,L:-18467 R:-10717
,1779038630.8303049,L:-18467 R:-10717
,1779038630.8313115,L:-18467 R:-10717
,1779038630.8333056,L:-18467 R:-10717
,1779038630.8350732,L:-18467 R:-10717
,1779038630.8362324,L:-18467 R:-10717
,1779038630.838146,L:-18467 R:-10717
,1779038630.8400428,L:-18467 R:-10717
,1779038630.84117,L:-18467 R:-10717
,1779038630.843153,L:-18467 R:-10717
,1779038630.8442109,L:-18467 R:-10717
,1779038630.8461928,L:-18467 R:-10717
,1779038630.8482666,L:-18467 R:-10717
,1779038630.8493268,L:-18467 R:-10717
,1779038630.851279,L:-18467 R:-10717
,1779038630.8532705,L:-18467 R:-10717
,1779038630.8543627,L:-18467 R:-10717
,1779038630.8563352,L:-18467 R:-10717
,1779038630.8583446,L:-18467 R:-10717
,1779038630.8602598,L:-18467 R:-10717
,1779038630.8613417,L:-18467 R:-10717
,1779038630.8631494,L:-18467 R:-10717
,1779038630.8644118,L:-18467 R:-10717
,1779038630.8664005,L:-18467 R:-10717
,1779038630.8682795,L:-18467 R:-10717
,1779038630.869261,L:-18467 R:-10717
,1779038630.871149,L:-18467 R:-10717
,1779038630.873157,L:-18467 R:-10717
,1779038630.874381,L:-18467 R:-10717
,1779038630.8763037,L:-18467 R:-10717
,1779038630.8782647,L:-18467 R:-10717
,1779038630.8795066,L:-18467 R:-10717
,1779038630.8812318,L:-18467 R:-10717
,1779038630.8832803,L:-18467 R:-10717
,1779038630.8840504,L:-18467 R:-10717
,1779038630.8861659,L:-18467 R:-10717
,1779038630.8882754,L:-18467 R:-10717
,1779038630.8893824,L:-18467 R:-10717
,1779038630.8913708,L:-18467 R:-10717
,1779038630.8922942,L:-18467 R:-10717
,1779038630.8943017,L:-18467 R:-10717
,1779038630.8963711,L:-18467 R:-10717
,1779038630.8974087,L:-18467 R:-10717
,1779038630.89945,L:-18467 R:-10717
,1779038630.9013586,L:-18467 R:-10717
,1779038630.9024172,L:-18467 R:-10717
,1779038630.9043837,L:-18467 R:-10717
,1779038630.906148,L:-18467 R:-10717
,1779038630.9074464,L:-18467 R:-10717
,1779038630.9092774,L:-18467 R:-10717
,1779038630.9113762,L:-18467 R:-10717
,1779038630.9124067,L:-18467 R:-10717
,1779038630.9143307,L:-18467 R:-10717
,1779038630.9163935,L:-18467 R:-10717
,1779038630.9173722,L:-18467 R:-10717
,1779038630.9191363,L:-18467 R:-10717
,1779038630.9213853,L:-18467 R:-10717
,1779038630.922449,L:-18467 R:-10717
,1779038630.9244168,L:-18467 R:-10717
,1779038630.9263859,L:-18467 R:-10717
,1779038630.9276156,L:-18467 R:-10717
,1779038630.9293928,L:-18467 R:-10717
,1779038630.9312665,L:-18467 R:-10717
,1779038630.932309,L:-18467 R:-10717
